command_id	command_category	command_note	command_description	latin keyboard layout	cyrillic keyboard layout
close_selfcontainedTag	html_tags	/>	types '/>' in the text editor 	{SLASH}+{PERIOD}	%{SHIFT}{SLASH}+{PERIOD}%{SHIFT}
close_tag_bracket	html_tags	>	types '>' in the text editor	+{PERIOD}	%{SHIFT}+{PERIOD}%{SHIFT}
open_tag_bracket	html_tags	<	types '<' in the text editor	+{COMMA}	%{SHIFT}+{COMMA}%{SHIFT}
specialTag_doctype	html_tags	<!DOCTYPE html> 	types <!DOCTYPE html>	+{COMMA}+{1}+D+O+C+T+Y+P+E{SPACE}html+{PERIOD}{SPACE}	%{SHIFT}+{COMMA}+{1}+D+O+C+T+Y+P+E{SPACE}html+{PERIOD}{SPACE}%{SHIFT}
html_comment_begin	html_tags	<!--	starts a comment	+{COMMA}+{1}{MINUS}{MINUS}	%{SHIFT}+{COMMA}+{1}{MINUS}{MINUS}%{SHIFT}
html_comment_end	html_tags	-->	ends a comment	{MINUS}{MINUS}+{PERIOD}	%{SHIFT}{MINUS}{MINUS}+{PERIOD}%{SHIFT}
tag_a_begin	specific_html_tag	<a	Types the beginning of 'a' tag	+{COMMA}a	%{SHIFT}+{COMMA}a%{SHIFT}
tag_a_start	specific_html_tag	<a>	Types the start of 'a' tag	+{COMMA}a+{PERIOD}	%{SHIFT}+{COMMA}a+{PERIOD}%{SHIFT}
tag_a_close	specific_html_tag	</a>	Types the end of 'a' tag	+{COMMA}{SLASH}a+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}a+{PERIOD}%{SHIFT}
tag_abbr_begin	specific_html_tag	<abbr	Types the beginning of 'abbr' tag	+{COMMA}abbr	%{SHIFT}+{COMMA}abbr%{SHIFT}
tag_abbr_start	specific_html_tag	<abbr>	Types the start of 'abbr' tag	+{COMMA}abbr+{PERIOD}	%{SHIFT}+{COMMA}abbr+{PERIOD}%{SHIFT}
tag_abbr_close	specific_html_tag	</abbr>	Types the end of 'abbr' tag	+{COMMA}{SLASH}abbr+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}abbr+{PERIOD}%{SHIFT}
tag_address_begin	specific_html_tag	<address	Types the beginning of 'address' tag	+{COMMA}address	%{SHIFT}+{COMMA}address%{SHIFT}
tag_address_start	specific_html_tag	<address>	Types the start of 'address' tag	+{COMMA}address+{PERIOD}	%{SHIFT}+{COMMA}address+{PERIOD}%{SHIFT}
tag_address_close	specific_html_tag	</address>	Types the end of 'address' tag	+{COMMA}{SLASH}address+{PERIOD}	%{SHIFT}+{COMMA}{SLASH}address+{PERIOD}%{SHIFT}
voidTag_area_begin	specific_html_tag	<area	Types the beginning of 'area' tag	+{COMMA}area	%{SHIFT}+{COMMA}area%{SHIFT}
voidTag_area_def	specific_html_tag	<area/>	Types the whole 'area' tag	+{COMMA}area{SLASH}+{PERIOD}	%{SHIFT}+{COMMA}area{SLASH}+{PERIOD}%{SHIFT}
tag_article_begin	specific_html_tag	<article	Types the beginning of 'article' tag	+{COMMA}article	%{SHIFT}+{COMMA}article%{SHIFT}
